id,name,resource_state
3655223,"Boul. Pincourt hill",3
4373377,"Pincourt Punch",3
8840701,"Full fat loop",3
9349111,"Boul. Pincourt bike path + rue du Rocher",3
821292,"Dave's hill",3
4305613,"Warp Dragon",3
2492803,"Senneville Hill - West",3
2196976,"Senneville Climb",3
1019465,"Apple Muur",3
7050243,"Dave'hill court",3
7778864,"WCG : Interval 7 : Senneville Hill",3
2188255,"GLOCK MUUR",3
9316675,"PS40 : KOM 3 : Senneville",3
9772929,"hilly billy",3
5003401,"Oka E-O / O-E",3
9451251,"RP Oka Square Loop (North) via Montee du Village Finish",3
4530219,"Sprint final vers la cabane a sucre",3
4035578,"lalande-bois de rivière-freniere-lalande",3
7180817,"Loop Saint et Ange "Official"",3
9910818,"Petit Sprint de belle asphalte",3
4616988,"The Mira Hood",3
5624984,"Ile Perrot Warm-up!",3
7930686,"Nitrous Oxide",3
4302537,"Traversier Trot",3
7605315,"Blvd Perrot East 1.5km",3
7733739,"WCG : Ferries Loop : Terrasse Sprint : 7e to Track",3
9490953,"la 20 jusquau chemin Duhamel",3
7264173,"LT Power-Climb",3
9625097,"Autoroute 20 : Ile-Perot→Vaudreuil",3
4791945,"Rue de l'Hôtel de Ville Climb",3
5821325,"Fritz Parc",3
5272127,"WCG : Ferries Loop : Lakeshore part 1 : Abbott to Morgan",3
9310606,"Bridge Climb",3
9525745,"fritz west",3
7883083,"Surge",3
7930662,"SHAZAM!",3
7930574,"Fesse Express",3
9598784,"Escape from McDo",3
4597265,"Don Quichotte-hill only",3
2296327,"1 st seg Macdonald",3
5568228,"Senneville Lollipop",3
7719733,"Sprint Rivière Chateauguay",3
4448245,"Centre Nautique/Maple Grove/Centre Nautique",3
7974277,"Voie Maritime (Sprint Ouest)",3
3769823,"Écluse (sprint)",3
3989191,"Pre ROC Sprint",3
665985,"15km TT",3
9236820,"Off Ecluse Sprint",3
7384195,"132 jusqu'au pont",3
9854997,"TT 20 KM Départ Ste-Catherine",3
3904290,"Rapidos traning 2",3
4638229,"St-Rémi sens horaire",3
4794412,"Candiac-LaPrairie_Est",3
7252701,"VIA CLSC",3
2656120,"La Prairie - Candiac / Marie-Victorin Ouest",3
7252780,"Principale nord",3
2731749,"Montée autoroute 15 Parc Haendel",3
5518316,"Sprint final Montréalaise",3
7252752,"Monté",3
5518371,"last kilo montrealaise",3
7252747,"Hendel",3
9499314,"Sprint Haendel",3
1442758,"Sprint vers boul. St-Jean",3
4281431,"Rue de la Bélize Climb",3
8906287,"Trail briquetterie",3
9028232,"Briquetterie NORD",3
10096402,"sprint briqueterie",3
2601372,"BattailleS-Tir-Golf-BattailleN",3
4934073,"Senneville through the trees sprint",3
4243666,"St Marie farms",3
4702480,"Rocky Start to Bumpy Finish",3
2296333,"2e seg mcdonald",3
5945427,"Sainte Marie's traffic",3
1443159,"Single track",3
5541226,"Technical SingleTrack",3
1443151,"Dirt Highway",3
8974129,"FatBike SBCU loop",3
5541230,"Technical SingleTrack Loop",3
1858757,"Garret's Giddyup",3
3981553,"Lakeview Boulevard Climb",3
2127492,"L'Anse a L'Orme - Out and Back",3
1740735,"Marie's Hump",3
1252910,"Lakeshore around Beaurepaire village",3
7631682,"Ch Ste-Marie overpass ouest",3
8246776,"WCG : Elm West",3
4558642,"Park to Park",3
7720120,"Elm - Woodland to Westcroft",3
5123495,"WCG : Interval 10 : The return",3
3898952,"Chemin du Bord-du-Lac-Lakeshore Climb",3
6981302,"Parc Stewart",3
4295048,"St-Charles Stretch direction Lakeshore",3
7189412,"Beaconsfield Blvd : St-Charles to St-Jean",3
2453606,"Beaconsfield St-Charles stretch",3
7330689,"Windmill Hill",3
9443479,"The final grind",3
8091084,"Lanthier dir. ouest",3
9527539,"Cedar to Pte-Claire - Train sprint",3
1681459,"Rotters Loop",3
9316745,"PS40 : SPRINT 3 : DORVAL",3
4332693,"Posh push to Thrush",3
9316606,"PS40 : Sprint 2 : Pointe-Claire Sign",3
4375819,"JV3 Fly By",3
7947880,"Jean XXIII sprint",3
7083356,"Touzin Sprint",3
2200585,"Avenue Dawson - Dvl Ave - Stream.",3
9527506,"P.B. to Dorval Ave",3
5909984,"Carson",3
2358922,"Sprint Parc Rene-Levesque Ouest",3
8149161,"Park Sprint ",3
4173833,"Lachine BIke Path 52nd to 32nd Avenue",3
7715348,"Lachine Waterfront (Eastbound)",3
9316742,"PS40 : Sprint 4 : Lachine",3
621249,"1 lap Mardi Cycliste",3
2189823,"Saint Joseph Westbound",3
4705541,"48e Sprint",3
719256,"Petit Dimanche Lap",3
9316470,"Handfield Loop",3
4765374,"Clement to Dollard",3
2325046,"Lachine Canal - Rue Musee to bridge with old train",3
4237697,"St. Pierre Bridge to rue du Musee",3
8049962,"Lyette to Stirling uphill",3
7975151,"BERGES- Bélanger to 90e",3
9223941,"La Salle petite côte",3
9804047,"90e à 75e Boulevard Lasalle",3
2518291,"Victoria Sprint.",3
1804825,"Ave Dollard to Blvd Lasalle",3
6277819,"Angrignon Boulevard Climb",3
9598966,"LaSalle Blvd - 5th to Douglas",3
1821922,"Angrignon Park Reverse Sprint",3
8160819,"Canal de l'aqueduct - Stephens à Bishop Power",3
4607037,"Angrignon Park Sprint",3
8181497,"Bishop Power sprint",3
9906497,"Stephens to Bishop Power Sprint",3
9906515,"Bishop Power Boulevard to Raymond Street",3
4817870,"Triathlon de Verdun - Natation",3
4817901,"Triathlon de Verdun - Vélo",3
4261825,"Ouimet Sprint",3
9939846,"Bridge over Hwy-15",3
4111052,"Lac de la Citiere reverse",3
8106402,"Parc Radisson",3
9257476,"Taschereau - Golf to Piste cyclable ",3
5669645,"Parc Illinois ouest",3
7726844,"Du Quarties Tracks -> Des Prairies Path",3
5652357,"Du Quartier Sprint",3
8135549,"Matte ( Quartier to Illinois )",3
9300042,"Taschereau:  Ernest rochette - Rivard",3
8500468,"Quartier Sprint - Prairies to Tracks",3
7110476,"Brossard BackyardZ - Rivard to Robert",3
4365351,"Nature Park",3
1737713,"Snake Path",3
2743938,"Sommerset Climb",3
8011196,"Jacques Bizzard Climb",3
2219539,"De Salaberry to Pierrefonds Boulevard",3
5938173,"Houde to Saint-Charles",3
5652638,"WCG : Ferries Loop : Pierrefond blvd",3
1613188,"Ste-Anne Hill",3
8244720,"WCG : Oakwood",3
9823061,"Becket",3
7331247,"Suburbia Square",3
9400123,"Hit that b***h",3
2395850,"Santa Louie Louie",3
4841145,"Coolbreeze Crush",3
9940319,"salaberry/  st-jean ouest",3
5084770,"Valois Pool Raceway",3
1931861,"La Grosse Banane",3
9404454,"Technoparc Straight (with wind at back)",3
669179,"Techno Park St-Laurent, Big Loop",3
7191030,"Planespotting",3
4134111,"Cardinal Crush",3
2200506,"Sources Overpass. Dir. Sud",3
9825048,"OLD VERSION - Chester south: The Two Circles",3
669212,"Techno Parc St-Laurent, Small Loop",3
9906443,"St-Martin Airplane Race",3
3685739,"welcome to montreal",3
4671460,"Railway Viaduc Bump 2",3
8155312,"55e Uphill sprint.",3
4671389,"Railway Viaduc Bump",3
9571023,"Meadowbrook sprint",3
7097018,"Lepine South Sprint",3
9994637,"Blossom Sprint",3
4783902,"Avenue Draper Climb",3
3857480,"De Maisonneuve Path (Benny to West Broadway)",3
3903966,"Sherbrooke Reverse",3
7217227,"Girouard Sprint",3
7373535,"Fielding Sprint Reverse",3
7336099,"Clan Sprint",3
5149290,"Cavendish to Girouard Reverse",3
5801166,"Fielding Sprint",3
3596608,"Sherb down West to Luc",3
7207347,"MoWest Trapezoid",3
7824610,"Short sprint to underpass",3
6962089,"Chemin GLEN",3
2120315,"Reverse Park to Arena Sprint",3
2201575,"De l'Église to Atwater",3
4237634,"Charlevoix to Pitt",3
4237652,"Pitt to De L'Eglise Bridge",3
2082981,"Park to Arena Sprint",3
2246181,"Pont de l'Île des Soeurs",3
1896995,"Lower Grovesnor",3
9599034,"Crescendo Restaurant to Msgr Richard School",3
661468,"Estacade Pont East",3
5840596,"Estacade ",3
7974316,"Voie Maritime (Sprint Est)",3
661472,"Estacade Pont West",3
1859809,"Voie Maritime 20k aller-retour",3
2147144,"Pont de l'Ile des Soeurs - Est",3
3679896,"Riverside - Hugo a Simard",3
7294983,"TT aller-retour ±10k",3
8372511,"Loop Piste IDS",3
7722345,"Ile de Soeurs path",3
3999107,"Rue Campbell Climb",3
7636328,"Pelletier Overpass direction Champlain Mall",3
3814709,"Rome: Tisserand à Pelletier",3
7453872,"Rome ( Naples to Niagara )",3
7768389,"Milan Rome a A10",3
7155431,"Rome Sprint - Tisserand à Pelletier",3
7110468,"Brossard BackyardZ - Rome to Rivard",3
9127067,"Malo sprint",3
649307,"1 lap Crit Brossard",3
2091947,"Boulevard Milan - Westbound",3
9240704,"Kimber to College",3
3811700,"Boulevard Westley - Voie ferrée",3
1896847,"Golf boulevard du Quartier",3
7707301,"Du Quartier - Velo path ",3
5292544,"Neron Shop Rides : Quartier Sprint IN",3
5292531,"Neron Shop Rides: Quartier Sprint OUT",3
7546609,"Sprint piste cyclable du Quartier (safe)",3
7454763,"Training Critérium...Labatt-SQ",3
9906190,"Nantel",3
9564414,"Rue David Sprint - Nord",3
4277158,"1ere cote Oka - Go les jambes!",3
1591079,"LongerSprint",3
5595503,"WCG : Ferries Loop : Oka, la première",3
7644165,"Descente vers chemin d'Oka",3
9981443,"RP Ch. Oka Descent, Rue Lapierre to Aut. 640",3
10065456,"Parc d'oka 2e côte (o vers e)",3
6029548,"Lights to Laurier",3
694824,"ch. Bord du Lac-mtée Wilson-ch. Cherrier TT",3
2273178,"Montée de l'Église",3
1255097,"Montée de l'Église, Ile Bizard",3
2273173,"Jacques Bizard @ De L'Église",3
9435280,"Jacques to Jean sprint",3
5590591,"WCG : Ferries Loop : de l'église",3
9282756,"End of Chevremont climb",3
5902900,"Chevremont ",3
9296359,"Salaberry Strut",3
